project_name,project_description,project_default_mover_names,project_default_sensor_names,movement_group_name,movement_group_desc,movement_group_default_mover_names,movement_group_default_sensor_names,movement_take_name,movement_take_Desc,movement_take_default_mover_names,movement_take_default_sensor_names,data_track_name,data_track_desc,data_track_technician,data_track_mover_names,data_track_sensor_names,data_track_filename,owner_email,Date_Recorded_On
EFFORT-BEA-CUBE,Effort and Basic Effort Actions in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonal_BEA,The Basic Effort Actions performed in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonalBEA_Phil_10,Take 10 of The BEAs performed in Laban Diagonal Scale,Phil,audio,diagonalBEA_10-audio.aif,audio track of Take 10 of The BEAs performed in Laban Diagonal Scale,Alistar Macleod,Phil,audio,MS_Experiment_20131209/Final/data/clean/Phil/diagonal_BEA/diagonalBEA_10-audio.aif,sfdilial@sfu.ca,2013-DEC-09
EFFORT-BEA-CUBE,Effort and Basic Effort Actions in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonal_BEA,The Basic Effort Actions performed in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonalBEA_Phil_10,Take 10 of The BEAs performed in Laban Diagonal Scale,Phil,kinect,diagonalBEA_10-kinect.txt,kinect track of Take 10 of The BEAs performed in Laban Diagonal Scale,Alistar Macleod,Phil,kinect,MS_Experiment_20131209/Final/data/clean/Phil/diagonal_BEA/diagonalBEA_10-kinect.txt,sfdilial@sfu.ca,2013-DEC-09
EFFORT-BEA-CUBE,Effort and Basic Effort Actions in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonal_BEA,The Basic Effort Actions performed in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonalBEA_Phil_10,Take 10 of The BEAs performed in Laban Diagonal Scale,Phil,Annotation,diagonalBEA_10-markers.txt,Annotation track of Take 10 of The BEAs performed in Laban Diagonal Scale,Alistar Macleod,Phil,Annotation,MS_Experiment_20131209/Final/data/clean/Phil/diagonal_BEA/diagonalBEA_10-markers.txt,sfdilial@sfu.ca,2013-DEC-09
EFFORT-BEA-CUBE,Effort and Basic Effort Actions in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonal_BEA,The Basic Effort Actions performed in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonalBEA_Phil_10,Take 10 of The BEAs performed in Laban Diagonal Scale,Phil,Annotation,diagonalBEA_10-maxmarkers.txt,Annotation track of Take 10 of The BEAs performed in Laban Diagonal Scale,Alistar Macleod,Phil,Annotation,MS_Experiment_20131209/Final/data/clean/Phil/diagonal_BEA/diagonalBEA_10-maxmarkers.txt,sfdilial@sfu.ca,2013-DEC-09
EFFORT-BEA-CUBE,Effort and Basic Effort Actions in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonal_BEA,The Basic Effort Actions performed in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonalBEA_Phil_10,Take 10 of The BEAs performed in Laban Diagonal Scale,Phil,Annotation,diagonalBEA_10-maxmarkers_space.txt,Annotation track of Take 10 of The BEAs performed in Laban Diagonal Scale,Alistar Macleod,Phil,Annotation,MS_Experiment_20131209/Final/data/clean/Phil/diagonal_BEA/diagonalBEA_10-maxmarkers_space.txt,sfdilial@sfu.ca,2013-DEC-09
EFFORT-BEA-CUBE,Effort and Basic Effort Actions in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonal_BEA,The Basic Effort Actions performed in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonalBEA_Phil_10,Take 10 of The BEAs performed in Laban Diagonal Scale,Phil,Annotation,diagonalBEA_10-maxmarkers_time.txt,Annotation track of Take 10 of The BEAs performed in Laban Diagonal Scale,Alistar Macleod,Phil,Annotation,MS_Experiment_20131209/Final/data/clean/Phil/diagonal_BEA/diagonalBEA_10-maxmarkers_time.txt,sfdilial@sfu.ca,2013-DEC-09
EFFORT-BEA-CUBE,Effort and Basic Effort Actions in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonal_BEA,The Basic Effort Actions performed in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonalBEA_Phil_10,Take 10 of The BEAs performed in Laban Diagonal Scale,Phil,Annotation,diagonalBEA_10-maxmarkers_weight.txt,Annotation track of Take 10 of The BEAs performed in Laban Diagonal Scale,Alistar Macleod,Phil,Annotation,MS_Experiment_20131209/Final/data/clean/Phil/diagonal_BEA/diagonalBEA_10-maxmarkers_weight.txt,sfdilial@sfu.ca,2013-DEC-09
EFFORT-BEA-CUBE,Effort and Basic Effort Actions in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonal_BEA,The Basic Effort Actions performed in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonalBEA_Phil_10,Take 10 of The BEAs performed in Laban Diagonal Scale,Phil,Vicon Mocap,diagonalBEA_10-mocap.c3d,Vicon Mocap track of Take 10 of The BEAs performed in Laban Diagonal Scale,Alistar Macleod,Phil,Vicon Mocap,MS_Experiment_20131209/Final/data/clean/Phil/diagonal_BEA/diagonalBEA_10-mocap.c3d,sfdilial@sfu.ca,2013-DEC-09
EFFORT-BEA-CUBE,Effort and Basic Effort Actions in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonal_BEA,The Basic Effort Actions performed in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonalBEA_Phil_10,Take 10 of The BEAs performed in Laban Diagonal Scale,Phil,Vicon Mocap,diagonalBEA_10-mocap.txt,Vicon Mocap track of Take 10 of The BEAs performed in Laban Diagonal Scale,Alistar Macleod,Phil,Vicon Mocap,MS_Experiment_20131209/Final/data/clean/Phil/diagonal_BEA/diagonalBEA_10-mocap.txt,sfdilial@sfu.ca,2013-DEC-09
EFFORT-BEA-CUBE,Effort and Basic Effort Actions in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonal_BEA,The Basic Effort Actions performed in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonalBEA_Phil_10,Take 10 of The BEAs performed in Laban Diagonal Scale,Phil,"6 Axes accelerometers and gyroscopes, EMG",diagonalBEA_10-physio.txt,"6 Axes accelerometers and gyroscopes, EMG track of Take 10 of The BEAs performed in Laban Diagonal Scale",Alistar Macleod,Phil,"6 Axes accelerometers and gyroscopes, EMG",MS_Experiment_20131209/Final/data/clean/Phil/diagonal_BEA/diagonalBEA_10-physio.txt,sfdilial@sfu.ca,2013-DEC-09
EFFORT-BEA-CUBE,Effort and Basic Effort Actions in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonal_BEA,The Basic Effort Actions performed in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonalBEA_Phil_10,Take 10 of The BEAs performed in Laban Diagonal Scale,Phil,video,diagonalBEA_10-video.mov,video track of Take 10 of The BEAs performed in Laban Diagonal Scale,Alistar Macleod,Phil,video,MS_Experiment_20131209/Final/data/clean/Phil/diagonal_BEA/diagonalBEA_10-video.mov,sfdilial@sfu.ca,2013-DEC-09
EFFORT-BEA-CUBE,Effort and Basic Effort Actions in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonal_BEA,The Basic Effort Actions performed in Laban Diagonal Scale,"Karen Studd, Philip Seth","Vicon Mocap, 6 axes Accelerometers and gyroscopes, EMG, Kinect, Audio, Video",diagonalBEA_Phil_10,Take 10 of The BEAs performed in Laban Diagonal Scale,Phil,video-hd,diagonalBEA_10-video-hd.mov,video-hd track of Take 10 of The BEAs performed in Laban Diagonal Scale,Alistar Macleod,Phil,video-hd,MS_Experiment_20131209/Final/data/clean/Phil/diagonal_BEA/diagonalBEA_10-video-hd.mov,sfdilial@sfu.ca,2013-DEC-09
